region,school_name,closure_year,local_office,school_level,utilization_status,address,years_since_closure,closure_risk_index
gyeongbook,상천초,2010,의성,초,매각,의성군 금성면 제오리 904-1,15,0.3016393442622951
gyeongbook,서라벌초등학교황용분교장,1993,경주,초,매각,경주시 황용동 572,32,0.524590163934426
gyeongbook,서벽초등학교금정분교장,1995,봉화,초,매각,봉화군 춘양면 우구치리 31-2,30,0.4983606557377048
gyeongbook,서성초,1996,문경,초,매각,문경시 마성면 하내리 754-1,29,0.4852459016393441
gyeongbook,서후초등학교대흥분교장,2022,안동,초,미활용,안동시 서후면 대두서리 61,3,0.48852459016393446
gyeongbook,석계초등학교,1993,영천,초,미활용,영천시 고경면 석계리 5-2,32,0.8688524590163936
gyeongbook,석병초등학교,1998,포항,초,대부,포항시 남구 구룡포읍 석병리 640-2,27,0.6557377049180327
gyeongbook,석보초등학교소계분교장,1995,영양,초,대부,영양군 석보면 소계리223,30,0.6950819672131149
gyeongbook,석탑초,1995,의성,초,매각,의성군 안평면 석탑리 258,30,0.4983606557377048
gyeongbook,석포초등학교광평분교장,1991,봉화,초,매각,봉화군 석포면 석포리 산 1-1,34,0.5508196721311475
gyeongbook,석포초등학교대현분교장,2011,봉화,초,매각,봉화군 석포면 대현리 90-5,14,0.2885245901639344
gyeongbook,석포초등학교반야분교장,1996,봉화,초,매각,봉호군 석포면 석포리 84-1,29,0.4852459016393441
gyeongbook,석포초등학교승부분교장,1993,봉화,초,매각,봉화군 석포면 승부리 437,32,0.524590163934426
gyeongbook,선남초등학교문방분교장,1992,성주,초,매각,경상북도 성주군 문방1리 650번지,33,0.5377049180327867
gyeongbook,선산여자고등학교,2014,구미,고,자체활용,구미시 선산읍 이문리 884,11,0.15081967213114744
gyeongbook,선산여자중학교,2014,구미,중,자체활용,구미시 선산읍 이문리 884,11,0.24918032786885247
gyeongbook,선산초 동부분교장,1995,구미,초,매각,구미시 선산읍 원리 813,30,0.4983606557377048
gyeongbook,선산초 봉천분교장,2007,구미,초,매각,구미시 선산읍 생곡리 767,18,0.34098360655737714
gyeongbook,성남초등학교,1995,경산,초,매각,경산시 남산면 우검리 413,30,0.4983606557377048
gyeongbook,성산초 사부분교,1999,고령,초,매각,고령군 성산면 사부리 160-4,26,0.4459016393442625
gyeongbook,성호초등학교 조항분교,1992,영덕,초,매각,영덕군 축산면 조항리 149-1,33,0.5377049180327867
gyeongbook,소곡초 ,1995,울진,초,매각,울진군 북면 소곡리 126,30,0.4983606557377048
gyeongbook,소천고등학교,2018,봉화,고,자체활용,봉화군 소천면 현동리 701-10 외 6필지,7,0.09836065573770492
gyeongbook,소천중학교옥방분교장,1995,봉화,중,매각,봉화군 소천면 분천리 9,30,0.3999999999999999
gyeongbook,소천초등학교갈산분교장,1997,봉화,초,매각,봉화군 재산면 갈산리 320,28,0.47213114754098384
gyeongbook,소천초등학교고선분교장,1992,봉화,초,매각,봉화군 소천면 고선리 501-4,33,0.5377049180327867
gyeongbook,소천초등학교남회룡분교장,2015,봉화,초,매각,봉화군 소천면 남회룡리 150,10,0.23606557377049175
gyeongbook,소천초등학교분천분교장,2021,봉화,초,매각,봉화군 소천면 분천리 1151,4,0.1573770491803278
gyeongbook,소천초등학교우련전분교장,1992,봉화,초,매각,봉화군 재산면 갈산리 57-1,33,0.5377049180327867
gyeongbook,소천초등학교임기분교장,2024,봉화,초,미활용,봉화군 소천면 임기리 805-7 외 4필지,1,0.46229508196721314
gyeongbook,소천초등학교황목분교장,1996,봉화,초,매각,봉화군 소천면 분천리 1798-6,29,0.4852459016393441
gyeongbook,소천초등학교황평분교장,2015,봉화,초,매각,봉화군 소천면 고선리 132,10,0.23606557377049175
gyeongbook,속암초낙정분교장,1995,의성,초,매각,의성군 단밀면 낙정리 475,30,0.4983606557377048
gyeongbook,속암초등학교문창분교장,1996,의성,초,대부,의성군 단밀면 팔등리 265,29,0.6819672131147542
gyeongbook,속암초위중분교장,2006,의성,초,매각,의성군 단밀면 위중리 577-2,19,0.35409836065573774
gyeongbook,송강초등학교,1995,안동,초,매각,안동시 서후면 이송천리 138,30,0.4983606557377048
gyeongbook,송강초등학교,1999,청송,초,자체활용,청송군 파천면 송강리 284-2 외 7필지,26,0.5442622950819672
gyeongbook,송도초등학교,1998,구미,초,매각,구미시 도개면 도개리 342,27,0.4590163934426231
gyeongbook,송라초등학교화산분교장,1996,포항,초,매각,포항시 북구 송라면 화진리 547,29,0.4852459016393441
gyeongbook,송생초등학교,1991,청송,초,대부,청송군 청송읍 송생리 551-3 외 3필지,34,0.7475409836065575
gyeongbook,송하초등학교,1994,영양,초,자체활용,영양군 수비면 송하리 367-1,31,0.6098360655737706
gyeongbook,수곡초 ,1995,울진,초,매각,울진군 근남면 수곡리 721-1,30,0.4983606557377048
gyeongbook,수락초 무계분교장,1991,청송,초,매각,청송군 현서면 무계리 303-1,34,0.5508196721311475
gyeongbook,수륜초등학교명륜분교장,1993,성주,초,대부,성주군 수륜면 송계리477,32,0.7213114754098361
gyeongbook,수륜초등학교백운분교장,1993,성주,초,매각,경상북도 성주군 수륜면 백운리 산45-1번지,32,0.524590163934426
gyeongbook,수비초 본신분교장,1992,영양,초,매각,영양군 수비면 본신리 61,33,0.5377049180327867
gyeongbook,수비초 수하분교장,1996,영양,초,매각,영양군 수비면 수하리 255-1,29,0.4852459016393441
gyeongbook,수비초 죽파분교장,1992,영양,초,매각,영양군 수비면 죽파리 546-2,33,0.5377049180327867
gyeongbook,수비초등학교신암분교장,2009,영양,초,미활용,영양군 수비면 신암리 166,16,0.6590163934426231
gyeongbook,수평초등학교,1993,문경,초,대부,문경시  동로면 수평리390,32,0.7213114754098361
gyeongbook,순흥초 배점분교,2008,영주,초,매각,영주시 순흥면 배점리 181,17,0.3278688524590164
gyeongbook,숭인초등학교,1992,상주,초,매각,상주시 화동면 선교리 185,33,0.5377049180327867
gyeongbook,시량초등학교,1996,청송,초,대부,청송군 진보면 시량리 507-3 외 4필지 ,29,0.6819672131147542
gyeongbook,신광초,1991,영천,초,매각,영천시 대창면 신광리 762,34,0.5508196721311475
gyeongbook,신광초등학교기일분교장,1993,포항,초,매각,포항시 북구 신광면 기일리 297-1,32,0.524590163934426
gyeongbook,신광초등학교냉수분교장,1996,포항,초,매각,포항시 북구 신광면 냉수리 586,29,0.4852459016393441
gyeongbook,신광초등학교마북분교장,1990,포항,초,매각,포항시 북구 신광면 마북리 171-4,35,0.5639344262295082
gyeongbook,신광초등학교비학분교장,2007,포항,초,대부,포항시 북구 신광면 만석리 272-11,18,0.5377049180327867
gyeongbook,신기초등학교대성분교장,2009,문경,초,자체활용,문경시  호계면 견탄리500-5,16,0.41311475409836085
gyeongbook,신녕서부초등학교,2001,영천,초,미활용,영천시 신녕면 부산리 946-1,24,0.7639344262295084
gyeongbook,신동초등학교연호분교장,1999,칠곡,초,대부,칠곡군 지천면 연호리 산90-1,26,0.6426229508196722
gyeongbook,신동초등학교연화분교장,1997,칠곡,초,미활용,칠곡군 지천면 연화리 513-4,28,0.816393442622951
gyeongbook,신동초등학교학운분교장,1991,칠곡,초,매각,칠곡군 지천면 백운리 309,34,0.5508196721311475
gyeongbook,신사초 금학분교장,1993,영양,초,매각,영양군 입암면 금학리 38,32,0.524590163934426
gyeongbook,신사초등학교,1999,영양,초,대부,영양군 입압면 신사리 610,26,0.6426229508196722
gyeongbook,신산초등학교,1994,의성,초,대부,의성군 단북면 신하리 551,31,0.7081967213114756
gyeongbook,신상초등학교,2008,경산,초,자체활용,경산시 진량읍 신상리 343-1,17,0.42622950819672145
gyeongbook,신성중학교,1996,안동,중,매각,안동시 풍천면 어담리 1001-1,29,0.3868852459016393
gyeongbook,신성초,1993,청송,초,매각,청송군 안덕면 신성리 360-1,32,0.524590163934426
gyeongbook,신촌초,2000,청송,초,매각,청송군 진보면 신촌리 46-3,25,0.4327868852459018
gyeongbook,신풍초,1999,예천,초,매각,예천군 지보면 신풍리 327,26,0.4459016393442625
gyeongbook,신흥초,1994,울진,초,매각,울진군 원남면 신흥리 303,31,0.5114754098360655
gyeongbook,아포초 신기분교,1999,김천,초,매각,김천시 아포읍 대성리 112-1,26,0.4459016393442625
gyeongbook,아화초등학교도동분교장,1993,경주,초,매각,경주시 서면 도리 951-1,32,0.524590163934426
gyeongbook,아화초등학교천촌분교장,1995,경주,초,대부,경주시 서면 천촌리 345-2,30,0.6950819672131149
gyeongbook,안강북부초등학교,2013,경주,초,자체활용,경주시 안강읍 육통리 543-3,12,0.3606557377049181
gyeongbook,안계서부초,1994,의성,초,매각,의성군 안계면 양곡리 491-1,31,0.5114754098360655
gyeongbook,안계여자고등학교,2002,의성,고,자체활용,의성군 안계면 용기리 1009-1,23,0.30819672131147546
gyeongbook,안계여자중학교,2002,의성,중,자체활용,의성군 안계면 용기리 1009-1,23,0.4065573770491805
gyeongbook,안계중학교구천분교장,2003,의성,중,자체활용,의성군 구천면 유산리,22,0.3934426229508198
gyeongbook,안계초고산분교장,2000,의성,초,매각,의성군 안사면 안사리 669-1,25,0.4327868852459018
gyeongbook,안계초교촌분교장,1994,의성,초,매각,의성군 안계면 교촌리 350,31,0.5114754098360655
gyeongbook,안계초도덕분교장,1994,의성,초,매각,의성군 안계면 도덕리 590-1,31,0.5114754098360655
gyeongbook,안덕초 지소분교장,2000,청송,초,매각,청송군 안덕면 지소리 61,25,0.4327868852459018
gyeongbook,안동중학교와룡분교장,2018,안동,중,대부,안동시 와룡면 지내리 926,7,0.29508196721311475
gyeongbook,안동중학교인계분교장,2018,안동,중,대부,안동시 예안면 인계리 산19-5,7,0.29508196721311475
gyeongbook,안림초,2011,고령,초,매각,고령군 쌍림면 안림리 149,14,0.2885245901639344
gyeongbook,안정남부초,1996,영주,초,매각,영주시 안정면 용산리 492,29,0.4852459016393441
gyeongbook,안평중,2016,의성,중,매각,의성군 안평면 창길리 1234,9,0.12459016393442612
gyeongbook,안평중신평분교장,2007,의성,중,매각,의성군 신평면 중율리 550,18,0.2426229508196721
gyeongbook,안평초도옥분교장,2005,의성,초,매각,의성군 안평면 도옥리 211,20,0.36721311475409846
gyeongbook,안평초중률분교장,2007,의성,초,매각,의성군 신평면 중률리 150,18,0.34098360655737714
gyeongbook,안평초하령분교장,1999,의성,초,매각,의성군 안평면 하령리 272-2,26,0.4459016393442625
gyeongbook,압량초등학교,2017,경산,초,자체활용,경산시 압량읍 부적리 601,8,0.30819672131147546
gyeongbook,애당초등학교,1999,봉화,초,매각,봉화군 춘양면 애당리 185,26,0.4459016393442625
gyeongbook,야성초등학교,2012,영덕,초,매각,영덕군 영덕읍 남석리 34-1,13,0.2754098360655738
gyeongbook,양남초등학교상계분교장,2015,경주,초,미활용,경주시 양남면 상계리 57-2,10,0.580327868852459
gyeongbook,양남초등학교석읍분교장,1996,경주,초,매각,경주시 양남면 석읍리 365,29,0.4852459016393441
gyeongbook,양북고등학교,2003,경주,고,자체활용,경주시 문무대왕면 어일리 701,22,0.29508196721311475
